fName,lastName,birthday,title,roleName
Michelle,Shome,1965-03-16,The Block Island Sound,David Kim
Anisa,Jenner,1954-09-20,Dealer,Barbie
Bronwen,Rahma,1951-05-08,Bombay Rose,Anna
Vanessa,Mantel,1971-09-30,Aelay,David Kim
Tony,Kirby,1995-07-27,Dogwashers,Barbie
Salman,Parker,1979-06-08,Fate of Alakada,Dog
Gerard,Khan,2003-02-08,Sentinelle,Sophie
Anders,Butler,1960-07-17,Mariposa,Barbie
Johnny,Baasmo,1961-04-12,Parker,Sophie
Renée,Knoxville,1969-04-10,Safe Haven,Barbie
Sydney,Zellweger,1958-04-26,Moxie,Barbie
Vanessa,Cope,1975-03-14,Black or White,Anna
Kenan,Hudgens,1979-11-29,Indoo Ki Jawani,David Kim
Craig,Thompson,1984-05-03,Biggie: I Got a Story to Tell,Anna
Meaghan,Fairbrass,2001-12-06,Dances with Wolves,Anna
Annabeth,Martin,1958-11-10,How to Be Really Bad,Dog
Martin,Gish,1959-10-16,LEGO Marvel Spider-Man: Vexed by Venom,David Kim
David,Short,1984-12-16,Rain Man,Sophie
Cha,Eagleman,1987-07-10,Tenacious D in The Pick of Destiny,Anna
Johnny,In-pyo,1996-02-27,Bigfoot Family,Dog
Martin,Depp,1979-04-22,Captain Fantastic,David Kim
Panji,L.,1960-09-13,Crazy About Her,David Kim
Lee,Zoni,1980-11-22,Fuga,David Kim
Timothy,Kang-sheng,1999-06-22,No Escape,Sophie
Mikaela,Ware-Hill,1964-12-31,Our Idiot Brother,David Kim
Anil,Blake,1955-04-07,The Girl on the Train,David Kim
Maine,Kapoor,1982-08-19,Tony Manero,Dog
YaYa,Mendoza,2003-01-16,Who Am I,Dog
Jessica,Gosselin,2003-01-21,Geez & Ann,Dog
Ringgo,Mila,1999-12-03,"Blue, Painful, Fragile",Dog
Kathryn,Agus,1982-04-11,Brian Regan: On the Rocks,Anna
Nils,Bernardo,1996-05-06,Red,Barbie
Edward,d'Aulaire,1981-05-11,The Conjuring,David Kim
Josephine,Chen,1981-10-16,The Conjuring 2,David Kim
London,Langford,1991-01-07,Classmates Minus,David Kim
Michael,Hughes,1983-02-09,Operation Finale,Dog
Justin,Brons,1973-06-25,I Care a Lot,Dog
Ariana,Fletcher,1968-03-05,Love,Dog
Uma,Grande,1957-08-17,Pitta Kathalu,Anna
Mohamed,Thurman,1982-01-08,Eeb Allay Ooo!,Barbie
Rhys,Saad,1993-02-03,No Escape Room,David Kim
Samantha,Nicholson,1987-12-16,Animals on the Loose: A You vs. Wild Movie,Barbie
Pauly,Mathis,1954-07-29,Awara Paagal Deewana,David Kim
Viola,Shore,1962-11-19,The Resurrection of Gavin Stone,David Kim
Mohd,Davis,1992-02-24,"My Teacher, My Obsession",David Kim
Kalidas,Syafie,1955-10-01,Namaste Wahala,Sophie
M.,Jayaram,2001-05-24,Monsoon,Sophie
Mahesh,Rajoli,1966-08-04,Hate by Dani Rovira,Anna
Antonio,Jugal,1985-07-21,Mundina Nildana,Sophie
Morgan,Sanint,1955-03-16,To All The Boys: Always And Forever,Anna
Julia,Oey,1995-03-17,Xico's Journey,Sophie
McCoy,Barretto,1955-11-29,Growing up and other problems,David Kim
Andrew,De,2003-02-12,Layla Majnun,Sophie
Eddie,Schulz,1951-10-27,Middle of Nowhere,David Kim
Forest,Garcia,1965-10-27,Red Dot,Anna
Vir,Whitaker,1998-11-09,Squared Love,David Kim
Ben,Das,1959-07-25,This Is the Life,Anna
Mel,Schnetzer,2002-05-27,The Misadventures of Hedi and Cokeman,Sophie
Lauren,Gibson,1986-09-04,The World We Make,Dog
Brandon,Swickard,1983-01-26,War Dogs,Anna
Enrique,Ingram,1988-03-20,Monster Run,Sophie
Bea,Gil,1999-12-11,Blanche Gardin: I talk to myself,Barbie
Paolo,Alonzo,1994-02-07,Doob: No Bed of Roses,Barbie
Elijah,Ballesteros,1985-04-14,Little Big Women,Sophie
Elio,Canlas,1957-12-02,Malcolm & Marie,Sophie
André,Germano,1989-12-13,Space Sweepers,Sophie
Jennifer,Chiang,1951-12-13,The Last Paradiso,Anna
Amber,Coolidge,1956-05-25,The Yin-Yang Master: Dream Of Eternity,Anna
Casey,Frank,1960-01-08,All My Friends Are Dead,David Kim
Li,Affleck,1976-03-07,Black Beach,David Kim
Jay,Lingwei,1977-12-09,"Our Lady of San Juan, Four Centuries of Miracles",Barbie
Nat,Hatton,1979-05-26,Beverly Hills Ninja,Sophie
Kostja,Faxon,1978-01-13,Rocks,Anna
Gary,Ullmann,1967-07-31,Shutter Island,Anna
Alyssa,Oldman,2001-10-23,The Bank Job,Barbie
Gerald,Milano,1980-01-14,The House Arrest of Us,Anna
Sabrina,Anderson,2001-01-29,Zathura,Anna
Leandro,Ouazani,1962-06-27,Fatima,David Kim
Ari,Hassum,1999-02-05,Hell Fest,Anna
Katarzyna,EldjÃ¡rn,1988-10-26,Below Zero,David Kim
Lucy,Sawczuk,1950-11-11,Finding â€˜Ohana,Barbie
Tom,O'Connell,1954-03-03,The Dig,Sophie
Jon,Hanks,1982-05-23,June & Kopi,Sophie
Dakota,Favreau,2000-11-15,Accomplice,Anna
Mitchel,Fanning,1980-05-29,Kilometers and Kilometers,David Kim
Natalie,Musso,1952-05-23,Penguin Bloom,Sophie
Tom,Palamides,1999-08-23,Black Rose,David Kim
Kim,Selleck,1959-08-21,So My Grandmaâ€™s a Lesbian!,Anna
Jelson,Chiu,1985-10-26,The Next Three Days,Anna
Hermione,Bay,1959-04-14,The White Tiger,Dog
Vlasta,Corfield,1966-09-04,Friendsgiving,David Kim
Ryan,Vrana,1994-05-28,The Shadow of Violence,Barbie
Alan,Phillippe,1965-07-01,Cut Throat City,Anna
Rodolfo,C.,1999-10-03,Sightless,Dog
Fabrizio,Sancho,1978-08-23,Homefront,Sophie
Park,Gifuni,1991-02-09,A Monster Calls,Anna
Vice,Shin-hye,1992-06-09,Death of Me,Anna
Larry,Ganda,1960-11-26,Radium Girls,David Kim
Suhail,the,1979-05-30,Double Dad,Anna
Sharon,Dabbach,1989-09-04,Outside the Wire,David Kim
Brenton,Cuneta,1985-02-01,Penguins of Madagascar: The Movie,Barbie
Shawn,Thwaites,1960-07-29,Pinkfong & Baby Shark's Space Adventure,Anna
Vinoth,Mendes,1966-09-09,The Vanished,Sophie
Noah,Kishan,1991-07-12,Tribhanga - Tedhi Medhi Crazy,Sophie
Valeria,Kaye,1962-05-24,What Would Sophia Loren Do?,David Kim
Jesse,Bertuccelli,1993-05-05,Wish You,Dog
Tamer,Metcalfe,1979-03-24,Tanda Tanya,Barbie
Dolly,Hosny,1966-12-09,The Heartbreak Club,Sophie
Danny,Parton,1978-02-08,An Imperfect Murder,Anna
Robert,Trejo,1977-07-31,Al acecho,Anna
Keythe,Agengo,1957-02-10,Last Tango in Halifax,Anna
Jackie,Farley,1963-06-15,The Intouchables,David Kim
Pavan,Long,1970-04-08,Apaharan,Sophie
Ayushmann,Malhotra,1956-10-31,BluffMaster!,Anna
John,Khurrana,1979-11-21,Charming,Barbie
Nawazuddin,Lloyd,1994-01-23,Gangaajal,Anna
Boman,Siddiqui,1972-06-01,Is Love Enough? Sir,David Kim
Kanto,Irani,2000-09-22,The Idhun Chronicles,Dog
Joel,Shimokura,1958-04-12,100% Halal,Anna
Bea,Edgerton,1975-10-17,Leap!,Dog
Sarah,Santos,1997-10-02,Pieces of a Woman,David Kim
Bing,Troyer,1974-12-14,Tony Parker: The Final Shot,Anna
Haley,Crosby,1997-08-16,Hello Brother,Barbie
Viraaj,Webb,1963-09-26,Playing for Keeps,Dog
Sophia,Modgill,1968-12-29,Asphalt Burning,Dog
Luis,Loren,1982-09-13,Bad Grandpa .5,Dog
Aga,Tosar,1962-03-02,Case 39,Barbie
Michael,Muhlach,1954-12-06,Eddie Murphy: Raw,David Kim
Renato,B.,1984-06-16,Full Out 2: You Got This!,Barbie
Brittany,Quattordio,1965-01-16,Gimme Shelter,David Kim
Gloria,Snow,1980-02-19,Good Burger,Barbie
Lavinia,Groove,1964-07-23,Good Hair,Anna
Temi,Wilson,1958-03-16,Into the Wild,Dog
Wang,Otedola,1970-01-10,London Heist,Dog
Antonio,Yu-ping,1973-02-18,Mean Girls 2,Barbie
Johnny,de,1980-06-19,Mystic Pizza,Dog
Nia,Simmons,1983-04-18,The Cat in the Hat Knows a Lot About That!,Barbie
Liza,Fairweather,1971-09-28,The Creative Brain,Sophie
Natalie,Soberano,1985-05-07,Unknown,Sophie
Angel,Hall,1995-06-02,What Happened to Mr. Cha?,Dog
Kat,Locsin,1981-07-16,What's Eating Gilbert Grape,Barbie
Kaitlyn,Graham,1968-03-31,Alaska Is a Drag,Barbie
Keerthy,Leeb,1965-07-07,Bobby Jasoos,Dog
Felix,Suresh,1959-01-22,Tarung Sarung,Dog
Masami,Lobrecht,1963-05-30,Too Handsome to Handle,Dog
Sophie,Nagasawa,1950-11-11,The Rope Curse 2,Sophie
Danny,Thatcher,1962-12-11,Cops and Robbers,Sophie
Leslie,Glover,1965-07-30,Rango,Dog
Brad,Bellair,1953-12-13,Death to 2020,Sophie
Josh,Hyland,2002-10-05,DNA,David Kim
Fred,Hutcherson,2000-01-10,The Magic School Bus Rides Again In the Zone,Anna
Christopher,Savage,1970-05-16,AK vs AK,Dog
Joseph,Abbott,1990-02-28,Isa Pa with Feelings,Barbie
Pat,Gordon-Levitt,1992-02-16,We Can Be Heroes,Anna
Matt,Morita,1971-12-15,Bridezilla,Barbie
Loo,Jones,1954-05-21,Cemara's Family,David Kim
Thomas,Nascimento,2000-08-20,"Hello, Love, Goodbye",Dog
Victoria,Gullestad,1968-06-14,The History of Future Folk,Dog
??p??,Barabas,1990-10-26,The Midnight Sky,Sophie
Chris,DÃ¬rÃ­sÃ¹,1972-12-03,Your Name Engraved Herein,Barbie
Shabana,Attoh,1966-10-12,After We Collided,Dog
Lannick,Azmi,1965-11-24,London Hughes: To Catch a D*ck,Sophie
Juli,Gautry,1984-03-20,QLIMAX THE SOURCE,Anna
Dane,FÃ bregas,1985-03-12,Shaun the Sheep: The Farmerâ€™s Llamas,Dog
Sarah,DeHaan,1996-03-25,"Ariana grande: excuse me, i love you",Anna
Mike,Cooper,1982-11-01,The Con Is On,David Kim
Ranbir,He,1964-04-21,Mohamed Hussein,Barbie
Hugo,Kapoor,1957-07-10,Rhys Nicholson Live at the Athenaeum,Dog
Tilda,Weaving,1985-08-31,Atlas Shrugged: Part II,Anna
Anne,Cobham-Hervey,1963-12-27,Guest House,David Kim
Cathy,Celestino,1980-04-29,Ma Rainey's Black Bottom,David Kim
Elizabeth,Ang,1964-08-11,Mukhsin,Barbie
Gitte,Bogush,1965-04-30,Paava Kadhaigal,Barbie
Angelica,Witt,1996-01-08,Rabun,Barbie
Daniel,Panganiban,1969-11-02,Talentime,Dog
Natalia,Mays,1983-03-30,An Unremarkable Christmas,David Kim
Lily,Dyer,2001-01-16,Braven,Barbie
Kate,James,1972-04-11,Eggnoid: Love & Time Portal,Barbie
Michael,McKinnon,1975-09-11,Love You to the Stars and Back,Dog
Ezzat,Gross,1958-11-15,Sakaling Maging Tayo,Dog
Rodney,El,1960-01-11,Schulz Saves America,David Kim
Georges,El,1969-04-21,Anitta: Made In HonÃ³rio,Barbie
Philippe,Khabbaz,1978-10-17,Bwakaw,David Kim
Hadi,Aractingi,1992-04-14,Incarnate,Barbie
Hippolyte,Bou,2001-09-23,Lee Daniels' The Butler,Sophie
Rana,Girardot,1970-01-05,Nocturnal Animals,Sophie
Talal,Eid,1998-08-26,Vir Das: Outside In - The Lockdown Special,Dog
Flavia,El-Jordi,1951-11-19,Grizzlies,Sophie
Soraya,Bechara,1971-10-18,The Professor and the Madman,Dog
Nada,Khoury,1965-10-11,A California Christmas,Dog
Rami,Abou,1976-03-08,Giving Voice,David Kim
Rola,Doueiri,1955-01-27,The Prom,Sophie
Nadia,Beksmati,1950-12-17,Torbaaz,David Kim
Imad,Tueni,1962-11-06,Funny Boy,Dog
Kodi,Creidi,1993-06-23,Just The Way You Are,David Kim
Stu,Smit-McPhee,1991-08-08,She's the One,Barbie
Brenda,Bennett,1974-08-02,The Panti Sisters,Barbie
Ethan,Wairimu,1987-10-18,"Kalel, 15",Sophie
Carmen,Hawke,1961-01-04,Rose Island,Sophie
Sacha,Maura,1964-07-03,AndrÃ© & his olive tree,David Kim
Shelley,Baron,1971-12-23,Bobbleheads The Movie,Dog
Tamara,Hennig,1970-07-18,Spirit Riding Free: Ride Along Adventure,Barbie
Kevin,Smart,1959-10-07,Triple 9,Anna
Hassan,Conroy,1987-09-02,Ava,Anna
Dian,El,1968-08-16,Detention,Sophie
Jefri,Sastrowardoyo,1968-04-08,Mighty Express: A Mighty Christmas,Barbie
Kai,Nichol,1985-07-06,Captain Underpants Mega Blissmas,Dog
Fardeen,Ko,1991-07-15,Christmas Crossfire,Sophie
Gulshan,Khan,1963-12-19,MANK,Barbie
Emily,Devaiah,1953-05-21,You Are My Home,David Kim
Yami,Bader,1979-02-24,Between Maybes,Dog
Radha,Gautam,1963-10-10,Break,Anna
Bigflo,Blank,1975-07-14,Just Another Christmas,Anna
Brian,&,1981-06-04,Must Be... Love,Dog
Viktoriya,Maya,1957-11-10,Ari EldjÃ¡rn: Pardon My Icelandic,Barbie
Madison,Isakova,1967-08-18,Fierce,Dog
Nahanni,Pettis,1986-09-06,3 Days to Kill,Sophie
Noree,Mitchell,2002-09-22,Angela's Christmas Wish,Dog
Daniel,Victoria,1986-11-13,Angels & Demons,David Kim
Mert,Levy,1986-01-16,Chef,Barbie
Emre,YazÄ±cÄ±oÄŸlu,1999-03-10,Effie Gray,Sophie
Beverly,Karayel,1984-10-15,Monster House,Anna
Binnur,Osu,1978-06-07,Natalie Palamides: Nate - A One Man Show,David Kim
Jaden,Kaya,1977-01-22,Peppermint,Barbie
Mauricio,Michael,1987-12-12,Quigley Down Under,Sophie
Hairul,Ochmann,1984-07-04,The Da Vinci Code,Barbie
Ben,Azreen,1992-05-30,The Happytime Murders,Anna
Tony,Kingsley,1973-03-12,U-Turn,Sophie
Sam,Kgoroge,2003-11-14,Finding Agnes,David Kim
Tommy,Neill,1990-08-17,Rust Creek,Sophie
Baraa,the,1975-02-04,Spookley and the Christmas Kittens,Anna
Scott,Alem,1981-05-28,The 2nd,David Kim
Taissa,Eastwood,2002-11-24,A Go! Go! Cory Carson Christmas,Anna
Camilla,Farmiga,1967-10-08,Dance Dreams: Hot Chocolate Nutcracker,Anna
Brian,Jo-Ann,1964-03-19,Donâ€™t Listen,Anna
Michelle,Ogola,1954-06-15,The Beast,Barbie
Miriam,Buteau,1969-09-09,The Call,Anna
Naseeruddin,Makeba,2002-01-12,Fantastica,Dog
Shahid,Shah,1978-12-25,Larry the Cable Guy: Remain Seated,Sophie
Abhay,Kapoor,1988-06-12,Mosul,Dog
Chirag,Deol,1975-09-02,Unexpectedly Yours,Dog
Hugh,Malhotra,2001-05-25,Ghosts of War,Anna
Millie,Jackman,1975-06-27,Shawn Mendes: Live in Concert,Sophie
Woody,Bobby,1997-04-07,The Christmas Chronicles: Part Two,Sophie
Kenjiro,Harrelson,1990-02-16,Andhakaaram,David Kim
Takanori,Yamashita,1963-05-19,Before 30,Barbie
Karim,Iwata,1985-05-25,Dragons: Rescue Riders: Huttsgalor Holiday,David Kim
Gippy,Abdel,1962-01-28,Hillbilly Elegy,Barbie
Soham,Grewal,2001-11-25,Notes for My Son,Sophie
Bhumi,Chakraborty,1998-02-22,Hard Kill,David Kim
Andovi,Pednekar,1993-08-12,Shawn Mendes: In Wonder,Anna
Maître,da,1998-10-08,The Suit,David Kim
Lizzie,Gims,1973-05-20,Dolly Partonâ€™s Christmas on the Square,Barbie
Obinna,Waterworth-Santo,1984-07-15,Machete Kills,Anna
Tom,Nwachukwu,1992-09-23,40 Sticks,Anna
Mario,Holland,1982-05-19,Alien Xmas,Anna
Vanessa,Casas,1966-11-13,The App That Stole Christmas,Anna
Michael,Redgrave,1980-03-05,Black Friday,Sophie
Victor,McIntyre,1950-06-29,Bodyguard,Dog
Neil,Rasuk,1990-01-08,Break Ke Baad,Barbie
Seyi,Patrick,1975-08-05,Hawaizaada,Barbie
Natalia,Shay,1954-06-10,My Amnesia Girl,Barbie
Patrick,Coronado,1965-01-08,Raman Raghav 2.0,Sophie
Nana,Roche,1977-10-15,Singham,Sophie
Subodh,Patekar,1974-03-05,TE3N,David Kim
Sagar,Bhave,1978-05-11,The Princess Switch: Switched Again,Anna
Hrishikesh,Deshmukh,2001-09-29,Three Words to Forever,Anna
Madison,Joshi,1998-09-12,Well Done Abba,Sophie
Rinku,Reyes,1989-03-20,Ainu Mosir,David Kim
?ahin,Rajguru,1977-02-10,Kevin Hart: Zero F**ks Given,Barbie
Parna,Irmak,1971-06-11,Loving,David Kim
Sonalee,Pethe,1986-05-01,A Very Country Christmas,Dog
Christian,Kulkarni,1979-04-10,Cloudy with a Chance of Meatballs 2,Sophie
Youssef,Loho,1957-03-12,Hometown Holiday,Anna
Judah,El,1992-05-17,White Christmas,Sophie
Vikrant,Lewis,1983-08-04,Killer Cove,Anna
Fathia,Massey,1971-10-01,Fukrey Boyzzz: Space Mein Fukrapanti,Dog
Adrián,Youssouf,1996-09-20,Jingle Jangle: A Christmas Journey,Barbie
Skyler,Suar,1984-12-24,The Life Ahead,David Kim
Yoo,Gisondo,1964-04-24,The Minions of Midas,Dog
Bü?ra,Ah-in,1973-02-03,A Very Special Love,Dog
Jessie,Pekin,1979-09-11,First Love,David Kim
Toni,Buckley,2002-01-28,Fruitvale Station,David Kim
Afonso,Gonzaga,1971-08-18,Ludo,David Kim
Rachael,Padilha,1982-03-06,Memories of a Teenager,Sophie
Cornelia,Leigh,1984-05-01,Prom Night,Barbie
Son,GrÃ¶schel,2001-02-25,A Queen Is Born,David Kim
Mana,Tung,1972-12-30,What We Wanted,Anna
Nobunaga,Ashida,2002-07-26,Citation,David Kim
Antonio,Shimazaki,1973-12-01,Girl's Revenge,David Kim
Josh,Banderas,1952-07-16,The Endless Trench,David Kim
Rakhee,Zuckerman,1958-01-01,The Late Bloomer,Anna
Thierry,Gulzar,1960-02-01,A New York Christmas Wedding,Sophie
JP,Henry,1964-12-29,Alone/Together,Dog
Francesco,Karliak,1978-11-04,Midnight at the Magnolia,David Kim
Hank,Pannofino,1970-05-26,One More Try,Barbie
Michael,Azaria,1981-01-26,Operation Christmas Drop,Sophie
Michela,Angelis,1970-07-02,Christmas with a Prince,Barbie
Jacob,Luci,1970-05-25,Miss India,David Kim
Aulii,Gregory,1957-12-11,Felix Lobrecht: Hype,Sophie
Paulo,Cravalho,1971-08-19,MOTHER,Barbie
Javier,Americano,1962-09-18,Prospect,Anna
Chris,Rey,1996-05-15,Christmas Break-In,Anna
JC,Stafford,1985-05-11,Elf Pets: A Fox Cubâ€™s Christmas Tale,Anna
Adam,Lin,1993-11-29,Elf Pets: Santaâ€™s Reindeer Rescue,Sophie
Eamon,Greaves-Neal,1982-06-08,Elliot the Littlest Reindeer,David Kim
Henry,Farren,1996-11-22,Little Monsters,Anna
Bobby,Cavill,1958-03-06,Mile 22,Barbie
Tenoch,Deol,1984-02-17,Piercing,Sophie
Sadie,Huerta,1958-05-11,Snowden,Dog
Ahmed,Stanley,1965-08-28,The Impossible,Sophie
Cecilia,Helmy,1970-05-26,The Next Karate Kid,Dog
Adeniyi,Roth,1955-07-03,Wheels of Fortune,Barbie
Gading,Johnson,1979-01-28,Afronta! Facing It!,Anna
Jeff,Marten,1957-05-30,The 12th Man,Anna
Harman,Bridges,1951-09-12,Hidden in Plain Sight,Anna
Yara,Baweja,1994-06-14,His House,Dog
Antonio,Shahidi,1987-05-21,In Line,Barbie
Teresa,Bell,1990-07-30,Kaali Khuhi,Anna
Mina,Gallagher,2000-04-10,Rogue City,Anna
Rebecca,Farid,1960-10-10,The Day of the Lord,David Kim
Brady,Hall,1964-05-09,Pagpag: Nine Lives,David Kim
Janhvi,Corbet,1958-09-22,Holidate,Barbie
Ty,Kapoor,1964-06-03,Metallica Through The Never,Barbie
Rob,Burrell,1969-02-05,Nobody Sleeps in the Woods Tonight,Anna
Leslie,Schneider,1971-12-23,Sarah Cooper: Everything's Fine,Sophie
Alexandra,Bibb,1951-01-31,The Devil Punisher,David Kim
Felicitas,Daddario,1952-03-28,Ajab Prem Ki Ghazab Kahani,Barbie
Steven,Woll,1983-05-04,Black '47,Sophie
Sabrina,Rinella,1962-07-22,I Am Woman,David Kim
Natalia,Carpenter,1971-09-17,Alice Junior,Anna
Nicolas,Oreiro,1961-05-15,Over the Moon,Sophie
Ricardo,Anelka,1983-07-06,Shattered Memories,Sophie
Sam,Hurtado,1965-09-20,Cadaver,Dog
Scott,Jay,1963-03-23,Exes Baggage,Barbie
Ken,Evans,1976-04-01,Fisherman's Friends,Dog
Elyse,Jeong,2001-02-20,The Hows of Us,Anna
Michiel,Maloway,1979-06-07,The Hummingbird Project,David Kim
Hannah,Huisman,1994-10-11,"Yes, God, Yes",David Kim
Ashley,Emily,1960-06-03,Brave Blue World: Racing to Solve Our Water Crisis,Dog
Fulu,Bornancin,1968-11-11,Rebecca,David Kim
Hunter,Mugovhani,1969-12-22,The Magic School Bus Rides Again The Frizz Connection,Sophie
Junior,March,1982-11-12,Tremors: Shrieker Island,Sophie
Bovi,BÃ©jar,1981-11-24,Beirut Oh Beirut,Anna
Gil,Ugboma,2001-09-15,Bosta,Sophie
O.C.,Alexandre,1988-01-17,Ghadi,Barbie
Maciej,Ukeje,1975-11-13,Heritages,Anna
Hannah,MusiaÅ‚owski,1998-02-23,Listen,David Kim
Dolly,Marks,1952-08-13,Out of Life,Anna
Henry,Ahluwalia,1969-09-17,Panoptic,Anna
Om,Lau,2002-10-05,Taxi Ballad,Sophie
Emily,Puri,1980-11-05,The Kite,Barbie
Odunlade,Blunt,1960-04-24,The Little Wars,Sophie
Marta,Adekola,1971-07-07,Under the Bombs,Sophie
Issey,Etura,1998-02-02,West Beirut,Dog
Hong,Takahashi,1970-02-13,What Did I Mess,Barbie
Bahle,Bum-ki,1991-08-06,Whispers,Barbie
Donnie,Mashinini,1983-05-20,Zozo,Sophie
Jack,Yen,1964-01-18,ParaNorman,David Kim
Bérénice,Whitehall,1954-04-29,I Am Vengeance: Retaliation,Anna
Nia,Bejo,2000-04-24,Disconnect,Anna
Virginie,Long,1996-09-21,In a Valley of Violence,Sophie
Jim,Ledoyen,1987-10-04,Someone Has to Die,Sophie
Valerio,Iyke,1964-02-25,The Trial of the Chicago 7,David Kim
Urzila,Mastandrea,1984-06-20,Unfriended,Barbie
André,Carlson,1964-03-20,A Babysitter's Guide to Monster Hunting,Dog
Hesham,Odendaal,1973-02-02,Batman: The Killing Joke,Sophie
Charlize,Maged,1977-05-16,El-Khawaga's Dilemma,Barbie
Maaike,Theron,1983-01-13,Kartini: Princess of Java,Barbie
Scott,Neuville,1954-01-26,Love Like the Falling Rain,Sophie
Walter,Dixon,1957-06-09,A Choo,David Kim
Tony,Mercado,1993-07-16,BLACKPINK: Light Up the Sky,Barbie
Danny,Revolori,1955-11-02,Fida,Barbie
Stephon,DeVito,1979-01-23,Octonauts & the Great Barrier Reef,Anna
Rani,Marbury,1991-02-23,Dil,David Kim
Manish,Mukerji,2001-02-15,Disco Dancer,Dog
Manoj,Chaudhary,1991-03-17,Hunterrr,Anna
Rishi,Bajpayee,1953-03-14,Phir Hera Pheri,Barbie
Paresh,Kapoor,1964-04-30,The Legend of Bhagat Singh,Dog
Peemapol,Rawal,1995-03-10,House of the Witch,David Kim
Arjun,Panichtamrong,1969-08-05,Ginny Weds Sunny,David Kim
John,Rampal,2003-05-19,My Step Dad: The Hippie,Sophie
Priyanka,Abraham,2000-04-29,The Forty-Year-Old Version,David Kim
Shiv,Chopra,1951-11-17,Bigflo & Oli: Hip Hop Frenzy,Sophie
Freida,Pandit,1969-03-02,Palermo Hollywood,David Kim
Lukram,Pinto,1990-06-11,Hubie Halloween,Anna
Vinod,Smil,2003-09-19,To the Lake,Sophie
Kartik,Khanna,1951-04-14,American Pie 9: Girls' Rules,Dog
Kangana,Aaryan,1996-06-05,Dolly Parton: Here I Am,David Kim
Rajeev,Ranaut,1993-02-07,StarBeam: Halloween Hero,Anna
Dimple,Khandelwal,1961-08-30,Walk Away from Love,David Kim
Nasim,Kapadia,1984-05-10,David Attenborough: A Life on Our Planet,Barbie
Adipati,Pedrad,1953-01-31,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Barbie
Jackie,Dolken,1963-07-12,Good Game: The Beginning,Sophie
Thiago,Appiah,1997-11-06,A Chaster Marriage,Dog
Macy,Ventura,2002-11-13,Ã’lÃ²tÅ«rÃ©,Anna
David,Drouin,1954-03-14,Serious Men,Anna
Tommy,Foster,1983-07-08,The Binding,Anna
Claire,Lee,1952-03-30,Turkish Dance School,Sophie
Eli,Danes,1950-08-06,Vampires vs. the Bronx,David Kim
Cristiano,Brown,1954-04-08,You've Got This,Sophie
George,Caccamo,1998-04-19,All Because of You,Dog
Edward,Lopez,1980-08-23,An Ordinary Man,Sophie
Beverly,Kagutuzi,2000-08-05,Carlos Almaraz: Playing with Fire,David Kim
Teresa,Naya,1962-07-25,Cold Harbour,David Kim
Wale,Palmer,1964-09-29,Free State of Jones,Anna
Ronwaldo,Ojo,1992-05-06,Hunt for the Wilderpeople,Dog
Siddhu,Martin,1990-04-13,Rize,Barbie
Tripti,Jonnalagadda,1983-05-25,The Book of Sun,Sophie
Jorge,Dimri,1991-01-28,The Outpost,Dog
Eric,GarcÃ­a,1971-02-24,We Have Always Lived in the Castle,Anna
Anna,AndrÃ©,1992-07-06,Baxu and the Giants,Barbie
Kirsten,Ben,1972-03-27,Poacher,Barbie
Jitendra,Dunst,2003-05-11,The Boys in the Band,Dog
Nour,Kumar,1998-04-30,Michelle Buteau: Welcome to Buteaupia,Sophie
Sofia,El-Sherif,1997-11-07,Welcome to Sudden Death,Barbie
Alban,Carson,1971-12-31,Amandla! A Revolution in Four Part Harmony,Dog
Dilan,Lenoir,1961-06-27,Ankhon Dekhi,Dog
Khaled,Ã‡iÃ§ek,1978-05-04,Dedh Ishqiya,Dog
Penélope,El,1990-04-09,Golmaal Returns,Dog
Mirai,Cruz,1970-05-02,Ishq Vishk,Dog
Naglaa,Shida,1999-04-01,Ishqiya,Barbie
Youssef,Fathi,1984-12-03,Jab We Met,Anna
Farid,Chahine,1982-05-16,Mann,Barbie
Faten,Shawqy,1959-04-12,Manorama Six Feet Under,Dog
Angie,Hamama,1993-05-04,Welcome,Dog
Ahmad,Ferro,1990-05-02,Time Out,Barbie
Nadine,Mazhar,1966-06-11,Real Steel,David Kim
Omar,Labaky,1970-11-17,Enola Holmes,Sophie
Hamdy,Sharif,1978-09-09,Kiss the Ground,David Kim
Aubrey,Ahmed,1992-10-06,DTC Yukemuri Junjo Hen From High & Low,Barbie
John,Plaza,1983-08-22,High & Low The Movie,David Kim
Omotola,Schneider,1971-07-29,High & Low The Movie 2 / End of Sky,Anna
Kevin,Jalade-Ekeinde,1992-10-08,High & Low The Movie 3 / Final Mission,Sophie
Kate,Bacon,1954-09-22,High & Low The Red Rain,Sophie
Vikram,Henshaw-Nuttal,1994-03-21,Road To High & Low,Anna
Iqbaal,Prabhu,1981-09-05,The Blue Elephant 2,David Kim
Sayani,Ramadhan,1961-08-09,Bhaji In Problem,Barbie
Delroy,Gupta,1952-05-13,Black,Anna
Jo,Lindo,1970-02-04,Saheb Biwi Aur Gangster Returns,David Kim
Seiran,Koy,1995-02-18,Santa Banta Pvt Ltd,David Kim
Fahad,Kobayashi,1970-02-04,The Royal Bengal Tiger,Anna
Fayez,Albutairi,1960-01-08,Dolly Kitty Aur Woh Chamakte Sitare,David Kim
