fName,lName,birthday,title,productionCompany
Gerardo,Gatica,1964-04-15,Star Wars,"Sony Pictures
"
John,Madden,1952-09-22,Pitch Perfect,"Sony Pictures
"
Edward,James,1967-08-13,Pitch Perfect,"Universal Studios
"
Abhinay,Deo,1975-09-14,Grease,"Universal Studios
"
Kiran,Rao,1963-12-04,Grease,"20th Century Fox
"
Abbas,Tyrewala,1970-03-18,Black Widow,"20th Century Fox
"
Ashutosh,Gowariker,1970-01-09,House of Gucci,"Warner Bros
"
Satyajit,Bhatkal,1973-04-28,House of Gucci,"Paramount
"
Anusha,Rizvi,1967-02-08,Grown Ups,"Paramount
"
Aamir,Khan,1950-11-03,Parasite,"Warner Bros
"
Shashank,Khaitan,1971-01-11,Mamma Mia,"Paramount
"
Ryan,Crego,1970-07-13,Black Widow,"Metro Goldwyn Mayer
"
Cassi,Simonds,1951-07-09,Eternals,"Disney
"
Guillermo,del,1970-07-07,Mamma Mia,"Warner Bros
"
Tony,Abulu,1963-09-28,Eternals,"Paramount
"
Mae,Czarina,1970-02-28,Parasite,"20th Century Fox
"
Stefan,Westerwelle,1961-10-11,Eternals,"Disney
"
Ron,Howard,1972-01-24,Captain Philips,"Disney
"
Justin,Benson,1973-04-07,Eternals,"Universal Studios
"
Niki,Caro,1951-01-09,Grown Ups,"Warner Bros
"
Mark,Dennis,1965-05-26,Jaws,"Metro Goldwyn Mayer
"
Taranveer,Singh,1967-06-09,Black Widow,"Paramount
"
TT,The,1974-05-17,Dune,"Metro Goldwyn Mayer
"
Keiichi,Sato,1971-10-16,Mamma Mia,"Sony Pictures
"
Glenn,Weiss,1954-11-17,Money Ball,"Metro Goldwyn Mayer
"
Michael,Civille,1956-01-11,Dune,"Paramount
"
Ryuichi,Hiroki,1960-01-01,Grease,"20th Century Fox
"
One9,Lee,1956-07-31,Eternals,"Warner Bros
"
Luis,Valdez,1974-07-12,Jaws,"Universal Studios
"
Cheng,Wei-hao,1950-05-03,House of Gucci,"20th Century Fox
"
Pass,Patthanakumjon,1950-06-02,Grown Ups,"Paramount
"
Buchi,Babu,1953-12-01,Dune,"Paramount
"
Zhao,Ji,1960-09-01,Dune,"Paramount
"
Jamie,Babbit,1959-03-08,Grease,"Disney
"
